alt,temp,pres
69129.0374700662,-45.3434906005859,0
69118.6535033172,-45.344554901123,0
69108.2415732417,-45.3460884094238,0
69097.8013415892,-45.348087310791,0
69087.3326737239,-45.3505477905273,0
69076.8360425991,-45.3534698486328,1.00014335188663E-06
69069.8226034221,-45.3556747436523,1.00154722516857E-06
69059.2788476957,-45.3593597412109,1.00366146744984E-06
69048.706994141,-45.3635063171387,1.00578582490969E-06
69038.1068390064,-45.3681144714355,1.00792038393233E-06
69027.4785860425,-45.373176574707,1.01006514919833E-06
69016.822031429,-45.3786926269531,1.01222020781889E-06
69009.7018855906,-45.3826179504395,1.01366266572708E-06
68998.9984101899,-45.3888854980469,1.01583493266078E-06
68988.2666331381,-45.3955993652344,1.01801761703603E-06
68977.506758254,-45.402759552002,1.0202107243848E-06
68966.7185817867,-45.4103698730469,1.02241434350004E-06
68959.5107559151,-45.4156951904297,1.02388928326768E-06
68948.6754548366,-45.4240493774414,1.02611051890641E-06
68937.8119214234,-45.4328422546387,1.02834237980078E-06
68926.9202208562,-45.442081451416,1.03058490085835E-06
68919.6433341525,-45.448486328125,1.03208588275419E-06
68908.7045783587,-45.4584541320801,1.03434630155677E-06
68897.7376554097,-45.468864440918,1.03661751070342E-06
68886.7422963033,-45.4797096252441,1.03889961539835E-06
68879.396552443,-45.4871826171875,1.0404270352222E-06
68868.3542726071,-45.4987602233887,1.0427273116125E-06
68857.2836911133,-45.5107688903809,1.04503858892377E-06
68849.8875056228,-45.5190124511719,1.04658559268493E-06
68838.7702070774,-45.53173828125,1.04891522254299E-06
68827.6242686211,-45.5448951721191,1.05125605956076E-06
68816.4503668254,-45.5584869384766,1.05360801302727E-06
68808.9853241683,-45.5677757263184,1.05518223365038E-06
68797.7641633165,-45.5820808410645,1.05755296680887E-06
68786.5149046222,-45.5968132019043,1.05993498277812E-06
68778.9997585804,-45.6068649291992,1.06152929386504E-06
68767.7033753294,-45.6222991943359,1.06393029345339E-06
68756.378759662,-45.6381568908691,1.06634274476589E-06
68748.8133756607,-45.6489639282227,1.06795742449422E-06
68737.4416354339,-45.6655235290527,1.07038909556149E-06
68729.8449708684,-45.6767997741699,1.07201660899942E-06
68718.4263099004,-45.6940612792969,1.07446760548741E-06
68706.9792128344,-45.7117385864258,1.07693033051322E-06
68699.332310234,-45.7237548828125,1.07857862689803E-06
68687.838292283,-45.742130279541,1.08106091937755E-06
68676.3158381614,-45.7609176635742,1.08355508713776E-06
68668.6188321672,-45.7736740112305,1.08522439767851E-06
68657.0494572993,-45.7931518554688,1.08773837865162E-06
68649.3208325554,-45.8063659667969,1.08942102311994E-06
68637.7044023655,-45.826530456543,1.09195500221321E-06
68629.9444969806,-45.840202331543,1.09365101146121E-06
68618.280942151,-45.8610534667969,1.09620516105818E-06
68606.5892894694,-45.8823127746582,1.09877145030873E-06
68598.7790116781,-45.8967056274414,1.10048913357001E-06
68587.0403709927,-45.9186363220215,1.10307581810281E-06
68579.1986089515,-45.9334869384766,1.10480718706303E-06
68567.4127091183,-45.9560966491699,1.10741448816457E-06
68559.5398702511,-45.9713935852051,1.10915956083753E-06
68547.7067785917,-45.9946784973145,1.11178762677656E-06
68539.8026591493,-46.010425567627,1.11354655713015E-06
68527.9225122291,-46.0343856811523,1.11619552223513E-06
68519.9867067775,-46.0505828857422,1.11796851097539E-06
68508.0595717755,-46.0751991271973,1.12063852654611E-06
68496.1041350251,-46.1002235412598,1.1233212772199E-06
68488.1182260222,-46.1171264648438,1.1251168590747E-06
68476.1155975115,-46.1428108215332,1.12782097536614E-06
68468.0982734963,-46.16015625,1.12963084725046E-06
68456.0486569713,-46.1865081787109,1.13235645388918E-06
68447.9998487005,-46.2042961120605,1.13418074583219E-06
68439.9385154994,-46.2222595214844,1.13601082250308E-06
68427.8229534777,-46.2495269775391,1.13876684214429E-06
68419.7301359476,-46.2679214477539,1.14061150104399E-06
68407.5675185109,-46.295841217041,1.14338944264609E-06
68399.4433532172,-46.3146781921387,1.14524876975157E-06
68387.2335440136,-46.3432540893555,1.14804884098914E-06
68379.078030883,-46.3625221252441,1.14992295448987E-06
68366.8210298391,-46.3917465209961,1.15274533383946E-06
68358.6341688703,-46.4114456176758,1.15463435308841E-06
68346.3301124056,-46.4413223266602,1.15747918921215E-06
68338.1116999231,-46.4614524841309,1.15938328192985E-06
68329.8808298323,-46.4817543029785,1.16129340032902E-06
68317.5108951834,-46.5125312805176,1.16416998187005E-06
68309.2484735051,-46.533260345459,1.16609534490823E-06
68296.8314162504,-46.5646705627441,1.16899483826963E-06
68288.53764673,-46.5858268737793,1.17093552213607E-06
68276.0733975547,-46.6178779602051,1.17385812985854E-06
68267.7482130101,-46.6394653320313,1.17581427504673E-06
68259.4103671093,-46.6612129211426,1.17777666244813E-06
68246.8799687427,-46.6941604614258,1.18073196616986E-06
68238.5109787427,-46.7163391113281,1.18270992786687E-06
68225.9335921246,-46.7499160766602,1.18568875288518E-06
68217.5329486592,-46.7725105285645,1.18768253701906E-06
68209.1198475823,-46.7952728271484,1.18968263789962E-06
68196.4764482598,-46.8297386169434,1.19269477118831E-06
68188.0318975351,-46.8529243469238,1.19471082747808E-06
68179.574720072,-46.876277923584,1.19673331374658E-06
68166.865340456,-46.91162109375,1.1997791307495E-06
